Canonical SMILES,Health,Fire,Reactivity,W,OX
CC(=O)CC(=O)C,1,1,0,0,0
C=CCN,1,1,1,0,0
CC(C(CO)N)N,1,1,0,0,0
COC1=CC=CC=C1N,1,1,0,0,0
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,1,1,0,0,0
C1=CC=C(C=C1)C(Cl)(Cl)Cl,1,1,0,0,0
C1=CC=C(C=C1)C(F)(F)F,1,1,1,0,0
CCCCOC(=O)C1=CC=CC=C1,1,1,0,0,0
CC1=C(C(=CC=C1)N)C,1,1,0,0,0
CC1=CC(=C(C=C1)N)C,1,1,0,0,0
CC1=CC(=C(C=C1)C)N,1,1,0,0,0
CC1=C(C=C(C=C1)N)C,1,1,0,0,0
CC1=CC(=CC(=C1)N)C,1,1,0,0,0
CCCN(CCC)CCC,1,1,0,0,0
C1=CC=C(C=C1)CC#N,1,1,0,0,0
C1=CC=C(C=C1)COCCO,1,1,0,0,0
C1=CC=C(C=C1)CS,1,1,0,0,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1,1,0,0,0
C(#N)C#N,1,1,1,0,0
CCOC(=O)C(=O)OCC,1,1,0,0,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,1,1,0,0,0
CC1=CC=CC=C1[N+](=O)[O-],1,1,1,0,0
CCCCBr,1,1,0,0,0
CC#C,1,1,1,0,0
CC(CO)OCC(C)OC,0,1,0,0,0
CCC[N+](=O)[O-],1,1,1,1,0
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,1,1,0,0,0
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,0,1,0,0,0
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,0,1,0,0,0
C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,1,1,0,0,0
CCOP(=O)(OCC)OCC,1,1,1,0,0
C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,0,1,0,0,0
COC(=O)C1=CC=C(C=C1)C(=O)OC,1,1,0,0,0
C1=CC(=CC(=C1)O)N,1,0,0,0,0
C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],1,1,0,0,0
C1=CC(=CC=C1N)O,1,1,0,0,0
CCCNCCC,1,1,0,0,0
C1C(O1)C2=CC=CC=C2,1,1,0,0,0
CC(=C)C(=O)O,1,1,1,1,0
C1CC(=O)NC1,1,1,0,0,0
C=CCC1=CC2=C(C=C1)OCO2,1,1,0,0,0
CC(CO)OCC(C)OCC(C)O,0,1,0,0,0
CCN(CC)C(=O)Cl,1,1,1,1,0
CC(COCC(C)O)O,1,1,0,0,0
CC(CC=O)O,1,1,0,0,0
CC(=O)NC1=CC=CC=C1,1,1,0,0,0
CC(=O)OC1=CC=CC=C1,1,1,0,0,0
CCCCC(CC)COC(=O)C,1,1,0,0,0
CC(=O)CC(=O)NC1=CC=CC=C1,1,1,0,0,0
CC(=O)NCCO,1,1,0,0,0
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,1,1,0,0,0
CC(C1=CC=CC=C1)N,1,1,0,0,0
CCCCNC,1,1,0,0,0
CCOC(=O)CC#N,1,1,1,0,0
CCCCNC1CCCCC1,1,1,0,0,0
CCNC1CCCCC1,1,1,0,0,0
C1=CC=C(C=C1)CN,1,1,0,0,0
CCCC=O,1,1,0,0,0
C(=C(F)Cl)(F)F,1,1,1,0,0
CC=CC(=O)O,1,1,0,0,0
CC(=O)OC1CCCCC1,1,1,0,0,0
C1CCC(C1)O,0,1,0,0,0
C1CCC(=O)C1,1,1,0,0,0
CCCCOCCOCCCC,1,1,0,0,0
CC(C)OCCO,1,1,0,0,0
CC(=O)OCC1=CC=CC=C1,1,1,0,0,0
CC(COCC(C)O)O,1,1,0,0,0
CCC1CO1,1,1,1,1,0
C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,1,1,1,0,0
C=CC1CCC=CC1,0,1,1,1,0
CC(F)(F)Cl,1,1,0,0,0
CC(C)CCC(=O)C,1,1,0,0,0
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],1,1,0,0,0
CCCC(C)CO,0,1,0,0,0
CC(C)(C)OOC(=O)C1=CC=CC=C1,1,1,1,0,1
C1=CC=C(C(=C1)N)N,1,1,0,0,0
CCCCCCCCCCCCCCCCCC(=O)OC,0,1,0,0,0
CC1(CCCCC1)O,0,1,0,0,0
CC1=CC(=CC=C1)[N+](=O)[O-],1,1,1,0,0
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1,1,0,0,0
CC1OC(OC(O1)C)C,1,1,1,0,0
C1OCOCO1,1,1,0,0,0
CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,0,1,0,0,0
C1=CC=C2C(=C1)C(=O)OC2=O,1,1,0,0,0
C=O,1,1,1,0,0
CCC1=CC=CC=C1CC,1,1,0,0,0
CCC1=CC(=CC=C1)CC,1,1,0,0,0
CCC1=CC=C(C=C1)CC,1,1,0,0,0
CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C,1,1,0,0,0
CC(C1=CC=CC=C1)O,0,1,0,0,0
CCCCCl,1,1,0,0,0
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,1,1,1,0,0
C1=CC=C(C(=C1)N)O,1,1,0,0,0
C1=CC(=CC=C1C(F)(F)F)Cl,1,1,0,0,0
COC1=CC=C(C=C1)O,1,1,0,0,0
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,0,1,0,0,0
CN(C)C#N,1,1,1,0,0
C1CC(=O)OC1,1,1,0,0,0
CC1CNCC(O1)C,1,1,0,0,0
C1CCOC1,1,1,1,1,0
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],1,1,1,0,0
COC1=C(C=C(C=C1)CC=C)OC,0,1,0,0,0
C1=CC=C(C=C1)CCO,1,1,0,0,0
CCC(C)(C)O,1,1,0,0,0
C1=CC=C(C=C1)CC(=O)O,1,1,0,0,0
C(CO)O,1,1,0,0,0
CCCC#N,1,1,0,0,0
